id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
22DH8NChecsgPxDjA4pqer,0.582,0.557,-7.981,0.101,0.452,1.87E-05,0.121,0.211,84.989
2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,-4.95,0.0273,0.0633,0,0.0804,0.604,81.012
5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,-6.073,0.054,0.274,0,0.104,0.579,107.071
5iJKGpnFfvbjZJeAtwXfCj,0.492,0.519,-6.886,0.0288,0.227,8.47E-05,0.0693,0.435,80.868
6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978
6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,-7.001,0.0776,0.0107,0,0.141,0.214,101.061
7221xIgOnuakPdLqT0F3nP,0.638,0.855,-4.86,0.0264,0.00757,0,0.245,0.731,127.986
0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,-5.96,0.0356,0.0502,0,0.0881,0.785,116.712
3Vr3zh0r7ALn8VLqCiRR10,0.635,0.601,-6.129,0.0295,0.246,0,0.11,0.332,123.994
4IadxL6BUymXlh8RCJJu7T,0.741,0.62,-5.505,0.0412,0.0295,0.000809,0.0398,0.934,117.038
7fzHQizxTqy8wTXwlrgPQQ,0.849,0.699,-5.106,0.0436,0.0982,0.000215,0.068,0.927,138.003
4NJqhmkGN042BrvHoMKUrJ,0.75,0.671,-6.753,0.0532,0.468,3.75E-06,0.108,0.738,114.902
2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,-5.478,0.0285,0.107,6.54E-05,0.185,0.69,103.969
2tudvzsrR56uom6smgOcSf,0.814,0.676,-4.67,0.231,0.00709,1.28E-05,0.119,0.312,162.012
2OzhQlSqBEmt7hmkYxfT6m,0.504,0.386,-10.976,0.0308,0.502,1.53E-05,0.0961,0.281,192.004
4xdBrk0nFZaP54vvZj0yx7,0.742,0.757,-4.981,0.0421,0.0187,0,0.305,0.957,139.982
0y5Ex8oQ8zCH5TQxHUy1Eo,0.663,0.675,-5.851,0.0321,0.353,0,0.21,0.455,128.942
7z3PblAN3dH1JMewiRydkZ,0.731,0.734,-3.145,0.0515,0.0382,1.67E-06,0.353,0.797,101.008
5uQ7de4EWjb3rkcFxyEOpu,0.646,0.668,-5.203,0.0282,0.491,0,0.212,0.64,90.969
7fveJ3pk1eSfxBdVkzdXZ0,0.621,0.779,-3.777,0.0361,0.216,8.62E-06,0.165,0.399,172.037
